var,varname,plotname,varsection_orig,Variable_Group,codebook_page,final classification,labels,include as predictor,include as ID,date_merge,aggregate,reverse,reverse_scale_min,reverse_scale_max,pick_one,picked,recode_does_not_apply,recode_as_1,remove_after_manual_inspection,notes,Final Groups
p400500_g1v1,Generation status,,pParent,Home,1911.0,continuous,no migrant background; 1st generation; 1.5th generation; 2nd generation; 2.25th generation; 2.5th generation; 2.75th generation; 3rd generation; 3.25th generation; 3.5th generation,1.0,0.0,,,,,,,,,,,,Home
p400500_g1,Generation status,,pParent,Home,1905.0,continuous,no migrant background; 1st generation; 1.5th generation; 2nd generation; 2.25th generation; 2.5th generation; 2.75th generation; 3rd generation; 3.25th generation; 3.5th generation; 3.75th generation,1.0,0.0,,,,,,,,,,,,Home
p400500_g2v1,Missing/contradicting imformation about country of birth for generation status,,pParent,Home,1907.0,categorical,Unique assignment possible; Information for target person unknown; Information for one parent unknown; Information for both parents unknown; Information for one grandparent unknown; Information for two grandparents unknown; Information for three grandparents unknown; Information for four grandparents unknown; no assignment to a generation,1.0,0.0,,,,,,,,,,,,Home
p712030,"Premature enrollment, regular enrollment, or held back",,pParent,Student,2170.0,categorical,early; regular; Deferral,1.0,0.0,,,,,,,,,,,,Student
p725000,Held back/repeated grade,,pParent,Student,2176.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Student
p727000,Recommendation secondary school or course of education,,pParent,Student,2202.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Student
p727001_D,"Recommendation secondary school or course of education, which ones? (simplified)",,pParent,Student,1904.0,categorical,"Hauptschule; Realschule; Gymnasium; Integrated comprehensive school; combined Hauptschule and Realschule; tended Realschule, Realschule plus,; Mittelschule/regular school/secondary school/Regionale Schule; Special needs school; Orientation stage/remedial stage; School for highly gifted",1.0,0.0,,,,,,,,,,,,Student
p728050,Diagnosis of dyslexia,,pParent,Student,2231.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Student
pd0300g,German lessons: important to write error-free,,pParent,Home,2242.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,,Home
pd0400g,"German: spelling skills no longer so important, because of writing aids on PC",,pParent,Home,2243.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,,Home
pd0500g,German lessons: TC can only learn a lot if he/she likes to read,,pParent,Home,2244.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,,Home
pd0600g,German lessons: good career prospects if TC reads a lot,,pParent,Home,2245.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,,Home
pd0100g,German lessons: TC shall work hard in German class,,pParent,Home,2246.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,,Home
pd0200g,German lessons: TC should learn to search information on the internet in class,,pParent,Home,2247.0,continuous,disagree; rather disagree; rather agree; agree,1.0,0.0,,,,,,,,,,,,Home
